Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Lieferung von frischen Backwaren an die Bahnbistros in Innsbruck / Tirol,Bäckerei Wachtler Gesellschaft m.b.H. Bäckerei,"15810000 Brotwaren, zubereitete Brotwaren und Gebäck",2.0,"133.459,00",04.06.2023
Lieferung von frischen Backwaren an die Bahnbistros in Knittelfeld/ Steiermark,Bäckerei und Konditorei Madenberger KG Bäckerei,"15810000 Brotwaren, zubereitete Brotwaren und Gebäck",2.0,"193.854,00",02.06.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.06.2023
Firewall und Security-Policy-Orchestrierung,Bacher Systems EDV GmbH,32400000 Netzwerke,1.0,"122.652,89",23.05.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",23.05.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",23.05.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",22.05.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.05.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.05.2023
Lieferung von frischen Backwaren an die Bahnbistros in Graz / Steiermark,Bäckerei Julius Kern GmbH Bäckerei,"15810000 Brotwaren, zubereitete Brotwaren und Gebäck",1.0,"61.907,00",22.05.2023
Lieferung von frischen Backwaren an die Bahnbistros in Attnang/ Oberösterreich,Resch&Frisch Einzelhandels GmbH Resch&Frisch Einzelhandels GmbH,"15810000 Brotwaren, zubereitete Brotwaren und Gebäck",1.0,"102.960,00",22.05.2023
Readiness Check SAP SF PA OM,XXX,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",19.05.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.05.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",16.05.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.05.2023
IT Dienstleistungen - Development SharePoint,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",15.05.2023
IT Dienstleistungen - Development SharePoint,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",15.05.2023
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"382.464,00",15.05.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.05.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",11.05.2023
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",10.05.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",10.05.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",10.05.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.05.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.05.2023
IT Dienstleistungen - UX Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.05.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.05.2023
Digitale Checklisten,Netcetera AG,72260000 Dienstleistungen in Verbindung mit Software,0.0,"68.000,00",09.05.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",09.05.2023
Program for Experts and Young Professionals,imc - integrality management consulting e.U. Zentrale,80570000 Ausbildung in der Persönlichkeitsentwicklung,6.0,"303.880,03",08.05.2023
Program for Experts and Young Professionals,Blümel & Zalokar OG Betriebliches Gesundheitsmanagement,80570000 Ausbildung in der Persönlichkeitsentwicklung,6.0,"39.200,00",08.05.2023
Program for Experts and Young Professionals,"hrdiamonds Personal, Management & Organisationsentwicklung  hrdiamonds Personal, Management & Organisationsentwicklung GmbH",80570000 Ausbildung in der Persönlichkeitsentwicklung,6.0,"148.480,00",08.05.2023
Program for Experts and Young Professionals,BRAINS AND GAMES Unternehmensberatung Andreas Rath BRAINS AND GAMES Unternehmensberatung Andreas Rath,80570000 Ausbildung in der Persönlichkeitsentwicklung,6.0,"115.520,00",08.05.2023
Program for Experts and Young Professionals,C PLUS Unternehmensberatung GmbH Organisationsentwicklung,80570000 Ausbildung in der Persönlichkeitsentwicklung,6.0,"191.200,00",08.05.2023
SAP Unterstützungsleistungen für das Projekt DIEP,SAP Österreich GmbH Zentrale,72260000 Dienstleistungen in Verbindung mit Software,1.0,"12.167.520,00",05.05.2023
Systemtech. Erfassung von Wartungsleistungen für SAP Systeme/Lizenzen 2023 bestehender Applikationen - Systemtech. Erfassung von Wartungsleistungen für SAP Systeme/Lizenzen 2023 bestehender Applikationen,SAP Österreich GmbH Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"3.073.388,94",05.05.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.05.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",03.05.2023
MEDOS – Managed e-Document and Output Service,ACP TechRent GmbH Vertrieb,30232100 Drucker und Plotter,4.0,"18.485.397,43",03.05.2023
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",02.05.2023
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"216.512,10",02.05.2023
Train the Trainer,"hrdiamonds Personal, Management & Organisationsentwicklung  hrdiamonds Personal, Management & Organisationsentwicklung GmbH",80511000 Ausbildung des Personals,3.0,"952.000,00",02.05.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",01.05.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.05.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.05.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.05.2023
IT Dienstleistungen - System Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.05.2023
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.05.2023
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.05.2023
Lizenzen für Software PsyMeDoc,XXX,72212218 Entwicklung von Lizenzmanagementsoftware,1.0,"1,00",28.04.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",27.04.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",27.04.2023
IT Dienstleistungen ÖBB SAP Applikationen,Wired-Up Maciej Wójcik Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"204.998,70",25.04.2023
Rahmenvertrag Sprecher:in für eLearnings,Matthias Moser Sprecher,80511000 Ausbildung des Personals,3.0,"52.650,00",18.04.2023
Rahmenvertrag Sprecher:in für eLearnings,Kerstin Ruhri Zentrale,80511000 Ausbildung des Personals,3.0,"68.475,00",18.04.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",13.04.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.04.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.04.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.04.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.04.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.04.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2023
"Beratungsleistungen hinsichtlich Human Resources, Organisationsentwicklung & Management Assessment",H.I. Executive Consulting GesmbH,79410000 Unternehmens- und Managementberatung,2.0,"109.849,72",03.04.2023
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"264.960,00",03.04.2023
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"151.704,00",03.04.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",03.04.2023
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"259.200,00",03.04.2023
IT Dienstleistungen - System Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",31.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",27.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.03.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",23.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.03.2023
"Abruf aus der Rahmenvereinbarung ""Beratungsleistungen in den Bereichen strategische Business IT / strategische IT Integration""",Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",23.03.2023
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",23.03.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",21.03.2023
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"382.200,00",16.03.2023
Hitrail Hermes VPN,HIT RAIL B.V.,72400000 Internetdienste,0.0,"201.980,00",16.03.2023
Neuausrichtung Medical Services,XXX,85000000 Dienstleistungen des Gesundheits- und Sozialwesens,1.0,"1,00",15.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",13.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",13.03.2023
Abruf aus Rahmenvereinbarung,NTT DATA Deutschland GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"978.888,49",13.03.2023
HSM-Infrastruktur,Utimaco IS GmbH,30210000 Datenverarbeitungsgeräte (Hardware),6.0,"83.598,00",13.03.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",13.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",10.03.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",10.03.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",02.03.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",02.03.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.03.2023
IT Dienstleistungen - Development SharePoint,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.03.2023
Backwaren für die Bahn Bistros in der Ostregion Österreichs,Kurt Mann Bäckerei & Konditorei GmbH & Co KG Bäckerei,"15810000 Brotwaren, zubereitete Brotwaren und Gebäck",3.0,"856.978,00",28.02.2023
ARIS und webMethods Lizenzen,Software GmbH Österreich,48000000 Softwarepaket und Informationssysteme,0.0,"486.000,00",22.02.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",22.02.2023
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"2.000.000,00",20.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.02.2023
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",16.02.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",16.02.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",16.02.2023
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,Garwan Consulting s. r. o.,72200000 Softwareprogrammierung und -beratung,0.0,"70.800,00",16.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.02.2023
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",16.02.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",15.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",15.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",14.02.2023
IT Dienstleistungen - System Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.02.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",14.02.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",09.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.02.2023
ARIS und webMethods Lizenzen,Software GmbH Österreich,48000000 Softwarepaket und Informationssysteme,0.0,"105.671,88",06.02.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.02.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.02.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.02.2023
Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.02.2023
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",06.02.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",06.02.2023
SAP-Schulungen für Mitarbeiter:innen BCC,SAP Deutschland SE & Co. KG SAP Training & Enablement,80533200 Computerkurse,1.0,"100.000,00",06.02.2023
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"4.102.640,00",03.02.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",02.02.2023
"Trainings ""Persönliche Kompetenzen"" im Rahmen des ÖBB-Bildungskataloges","hrdiamonds Personal, Management & Organisationsentwicklung  hrdiamonds Personal, Management & Organisationsentwicklung GmbH",80570000 Ausbildung in der Persönlichkeitsentwicklung,1.0,"68.640,00",01.02.2023
IT Prototyping,Sclable Business Solutions GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"410.310,00",31.01.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",30.01.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",30.01.2023
Externer provider international mobility,Rahmenvereinbarung mit mehreren Unternehmern,79220000 Dienstleistungen im Steuerwesen,2.0,"1,00",30.01.2023
IT Security Dienstleistungen – Pentester/Security Auditor,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",27.01.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",27.01.2023
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",27.01.2023
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"220.450,00",25.01.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",25.01.2023
Abruf aus Rahmenvereinbarung,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"1.212.460,00",25.01.2023
Abrufbestellung einer Rahmenvereinbarung,Deutsche Telekom Global Business,72300000 Datendienste,0.0,"70.336,00",23.01.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",21.01.2023
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"108.560,00",21.01.2023
Incident Response,PwC Advisory Services GmbH Advisory Services,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1.0,"51.019,52",18.01.2023
Lizenz Software PsyMeDoc,PsyMeDoc Informatics GmbH Key Account,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"66.300,00",10.01.2023
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",09.01.2023
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,Rahmenvereinbarung mit mehreren Unternehmen,48000000 Softwarepaket und Informationssysteme,0.0,"1,00",09.01.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.01.2023
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"616.200,00",09.01.2023
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",09.01.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.01.2023
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.01.2023
Cloud Contact Center,Solvion information management GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"186.500,16",05.01.2023
Cloud Contact Center,Solvion information management GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"52.800,00",03.01.2023
Bereitstellung und Befüllung von Verpflegungsautomaten,Rahmenvereinbarung mit mehreren Unternehmern,55500000 Kantinen- und Verpflegungsdienste,2.0,"1,00",03.01.2023
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",30.12.2022
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72260000 Dienstleistungen in Verbindung mit Software,1.0,"1,00",30.12.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.12.2022
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"74.700,00",28.12.2022
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",27.12.2022
Diese SAP-Rahmenvereinbarung dient ausschließlich zur SAP-Abbildung der Abrufe (Innenwirkung),SoftwareONE Österreich GmbH,30234600 Flashspeicher,0.0,"100.122,40",23.12.2022
Undconsorten - Undconsorten,Undconsorten Dienstleistung,75100000 Dienstleistungen der Verwaltung,1.0,"92.750,00",23.12.2022
Organisationsentwicklung im Bereich Service & Soziales,GPM Management Consulting GmbH Geschäftsführung,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1.0,"85.977,85",20.12.2022
eProcurement 4.0,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,3.0,"1,00",19.12.2022
Beratungsleistung zur Spezifikation und technischen Vergabebegleitung von Bekleidung,Manfred Koppenhauser,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,0.0,"54.340,00",19.12.2022
ETC Schulungen - Schulungen,ETC - Enterprise Training Center Gmbh. Zentrale,80400000 Erwachsenenbildung und sonstiger Unterricht,1.0,"77.290,00",15.12.2022
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",14.12.2022
